step,picture_name,session_name,timestamp_min,label,mean_temp,min_temp,max_temp,std_temp,pixel_count,gradient_min_c_per_cm,gradient_max_c_per_cm,gradient_modus,star_center_temp,star_radius_cm,grad_N_c_per_cm,grad_NE_c_per_cm,grad_E_c_per_cm,grad_SE_c_per_cm,grad_S_c_per_cm,grad_SW_c_per_cm,grad_W_c_per_cm,grad_NW_c_per_cm
1,FLIR0201,"Session 1 (0m - Rest)",0,m1,35.061222076416016,32.427581787109375,35.42466735839844,0.3649957478046417,581,0.0455,2.2552,"E (-3.04°C)",35.093765,1.35,0.1418,0.0710,2.2552,0.0790,0.0455,0.1050,0.1032,0.2471
2,FLIR0202,"Session 2 (2m - 80mmHg)",2,m1,34.366798400878906,34.05391311645508,34.874629974365234,0.20594872534275055,469,0.0507,0.4586,"W (+0.55°C)",34.322746,1.2,0.1605,0.1192,0.1921,0.1963,0.0507,0.2158,0.4586,0.1650
3,FLIR0203,"Session 3 (4m - 160mmHg)",4,m1,33.823856353759766,33.25994110107422,34.40043258666992,0.2945716679096222,417,0.0194,0.4201,"SW (+0.48°C)",33.81448,1.15,0.3195,0.1791,0.1396,0.0194,0.1970,0.4201,0.2952,0.2586
4,FLIR0204,"Session 4 (6m - 240mmHg)",6,m1,34.24334716796875,33.93354415893555,34.690704345703125,0.16970732808113098,519,0.1501,0.5855,"W (+0.73°C)",34.017315,1.25,0.2792,0.4553,0.4131,0.2364,0.1941,0.4777,0.5855,0.1501
5,FLIR0205,"Session 5 (8m - Heat L1 + 80mmHg)",8,m1,35.50110626220703,35.23244857788086,36.076759338378906,0.19558075070381165,437,0.1029,0.5593,"SE (+0.64°C)",35.273666,1.15,0.2503,0.4883,0.5198,0.5593,0.1218,0.1677,0.5158,0.1029
6,FLIR0206,"Session 6 (10m - Heat L1 + 160mmHg)",10,m1,35.82023620605469,35.15913772583008,36.521568298339844,0.23505930602550507,477,0.0046,0.6567,"E (-0.82°C)",35.871948,1.25,0.4726,0.0746,0.6567,0.2829,0.2116,0.0046,0.2238,0.2197
7,FLIR0207,"Session 7 (12m - Heat L1 + 240mmHg)",12,m1,35.7578239440918,34.19264602661133,36.45359420776367,0.28262537717819214,438,0.0835,1.3857,"E (-1.59°C)",35.917442,1.15,0.0835,0.0882,1.3857,0.1605,0.2357,0.2411,0.3728,0.5686
1,FLIR0201,"Session 1 (0m - Rest)",0,m2,34.935543060302734,34.53413772583008,35.237030029296875,0.1967647820711136,279,0.0075,0.3963,"E (+0.38°C)",34.877522,0.95,0.2798,0.3723,0.3963,0.3203,0.0075,0.3748,0.1684,0.0175
2,FLIR0202,"Session 2 (2m - 80mmHg)",2,m2,34.673702239990234,34.238853454589844,34.95730209350586,0.20133601129055023,271,0.0188,0.5103,"W (-0.48°C)",34.743866,0.95,0.1421,0.1836,0.0188,0.0861,0.0226,0.3636,0.5103,0.4031
3,FLIR0203,"Session 3 (4m - 160mmHg)",4,m2,33.72258758544922,33.34843063354492,34.21575164794922,0.16193222999572754,283,0.029,0.5286,"SE (+0.50°C)",33.654453,0.95,0.0290,0.3688,0.5054,0.5286,0.1742,0.1095,0.0521,0.0523
4,FLIR0204,"Session 4 (6m - 240mmHg)",6,m2,34.29861831665039,33.61813735961914,34.9481201171875,0.34900304675102234,241,0.0427,0.6002,"NW (-0.54°C)",34.249115,0.9,0.4868,0.4540,0.4800,0.5172,0.0427,0.4957,0.5657,0.6002
5,FLIR0205,"Session 5 (8m - Heat L1 + 80mmHg)",8,m2,35.485652923583984,34.980255126953125,36.09949493408203,0.3181443214416504,276,0.121,0.6913,"SE (+0.66°C)",35.349606,0.95,0.1753,0.6633,0.6475,0.6913,0.1857,0.3343,0.3416,0.1210
