step,picture_name,session_name,timestamp_min,label,mean_temp,min_temp,max_temp,std_temp,pixel_count,gradient_min_c_per_cm,gradient_max_c_per_cm,gradient_modus,star_center_temp,star_radius_cm,grad_N_c_per_cm,grad_NE_c_per_cm,grad_E_c_per_cm,grad_SE_c_per_cm,grad_S_c_per_cm,grad_SW_c_per_cm,grad_W_c_per_cm,grad_NW_c_per_cm
1,FLIR0201,"Session 1 (0m - Rest)",0,t1,34.856666564941406,33.58562088012695,35.27824401855469,0.22519369423389435,637,0.0076,1.4578,"W (-2.04°C)",34.975086,1.4,0.0142,0.2864,0.4528,0.2473,0.0076,0.1550,1.4578,0.0930
2,FLIR0202,"Session 2 (2m - 80mmHg)",2,t1,33.77497482299805,32.732234954833984,34.874629974365234,0.49012458324432373,549,0.0161,0.9265,"SE (+1.20°C)",33.669937,1.3,0.1495,0.0161,0.1348,0.9265,0.6476,0.3795,0.5027,0.4466
3,FLIR0203,"Session 3 (4m - 160mmHg)",4,t1,33.62575912475586,32.399417877197266,34.4096565246582,0.42275410890579224,514,0.0141,0.3887,"N (+0.51°C)",33.633888,1.3,0.3887,0.0141,0.0145,0.1818,0.1235,0.0180,0.0285,0.3831
4,FLIR0204,"Session 4 (6m - 240mmHg)",6,t1,33.83826446533203,33.040748596191406,35.26450729370117,0.5166253447532654,577,0.0661,1.2289,"S (+1.66°C)",33.642563,1.35,0.0826,0.3948,0.5170,0.7425,1.2289,0.6037,0.1013,0.0661
5,FLIR0205,"Session 5 (8m - Heat L1 + 80mmHg)",8,t1,35.43958282470703,34.50648880004883,36.36289978027344,0.5617604851722717,529,0.0973,0.841,"SE (+1.09°C)",35.181145,1.3,0.1111,0.0973,0.3556,0.8410,0.7408,0.3522,0.1727,0.5240
6,FLIR0206,"Session 6 (10m - Heat L1 + 160mmHg)",10,t1,36.292518615722656,35.685028076171875,37.140586853027344,0.35560178756713867,478,0.1129,0.726,"E (-0.91°C)",36.589935,1.25,0.1313,0.4979,0.7260,0.2854,0.3242,0.1129,0.4637,0.4393
7,FLIR0207,"Session 7 (12m - Heat L1 + 240mmHg)",12,t1,35.19216537475586,32.961360931396484,36.937618255615234,0.9203570485115051,521,0.2264,2.4152,"W (-3.14°C)",35.161469,1.3,0.2877,0.4527,0.4886,1.3336,1.1636,0.2264,2.4152,0.8804
1,FLIR0201,"Session 1 (0m - Rest)",0,m1,35.180755615234375,33.241302490234375,35.49781036376953,0.27036115527153015,643,0.0004,1.7018,"E (-2.47°C)",35.225746,1.45,0.0732,0.2471,1.7018,0.3223,0.0004,0.0256,0.0467,0.1650
2,FLIR0202,"Session 2 (2m - 80mmHg)",2,m1,34.30005645751953,33.79914093017578,34.791900634765625,0.1922074258327484,549,0.0092,0.5082,"W (+0.66°C)",34.134232,1.3,0.0092,0.0377,0.2508,0.2586,0.1757,0.2823,0.5082,0.1481
3,FLIR0203,"Session 3 (4m - 160mmHg)",4,m1,33.793922424316406,33.25994110107422,34.35890197753906,0.28723764419555664,503,0.0251,0.7662,"SE (+0.96°C)",33.313118,1.25,0.3139,0.7242,0.0251,0.7662,0.4708,0.6037,0.7018,0.2424
4,FLIR0204,"Session 4 (6m - 240mmHg)",6,m1,34.31338882446289,33.93354415893555,34.9251594543457,0.24572697281837463,572,0.0453,0.5737,"E (+0.77°C)",34.103645,1.35,0.4630,0.5414,0.5737,0.3594,0.0619,0.2478,0.2936,0.0453
5,FLIR0205,"Session 5 (8m - Heat L1 + 80mmHg)",8,m1,35.542850494384766,35.23244857788086,36.054019927978516,0.21102210879325867,531,0.0666,0.5898,"W (+0.77°C)",35.2659,1.3,0.4533,0.3759,0.3608,0.5009,0.0666,0.3500,0.5898,0.1213
6,FLIR0206,"Session 6 (10m - Heat L1 + 160mmHg)",10,m1,35.904605865478516,34.97566604614258,36.73881912231445,0.28382211923599243,477,0.0781,0.9021,"E (-1.13°C)",35.990326,1.25,0.4848,0.2144,0.9021,0.3829,0.3209,0.0781,0.0964,0.3525
